Task,Baseline_LooseBox,Adapted_LooseBox,Improvement
Whole_Tumor,0.5776653415251175,0.8709536307961505,0.293288289271033
Tumor_Core,0.5614506380120886,0.751566808723991,0.19011617071190234
Whole_Tumor,0.7396483267158253,0.8576072821846554,0.11795895546883017
Tumor_Core,0.8008171603677222,0.9414694894146949,0.14065232904697267
Whole_Tumor,0.6093956506067524,0.7472594397076736,0.13786378910092123
Tumor_Core,0.37945998071359693,0.6295331596874374,0.25007317897384046
Whole_Tumor,0.5639295088113986,0.722495894909688,0.15856638609828944
Tumor_Core,0.021534320323014805,0.9269406392694064,0.9054063189463916
Whole_Tumor,0.7410661980082015,0.8257360463794475,0.08466984837124603
Tumor_Core,0.74640522875817,0.8328214129003949,0.08641618414222496
Whole_Tumor,0.7002887788778878,0.7388646288209607,0.03857584994307295
Tumor_Core,0.6189810697497141,0.7388939256572983,0.11991285590758416
Whole_Tumor,0.7445432497978981,0.8564988730277987,0.1119556232299006
Tumor_Core,0.5318924617817606,0.7880143112701252,0.2561218494883646
Whole_Tumor,0.5608300907911803,0.7978585933173343,0.23702850252615404
Tumor_Core,0.5532359081419624,0.6187251926219939,0.06548928448003144
Whole_Tumor,0.5053985756949231,0.6520898408448609,0.1466912651499378
Tumor_Core,0.4614406779661017,0.5640892579138558,0.10264857994775406
Whole_Tumor,0.8703125,0.9206349206349206,0.05032242063492054
Tumor_Core,0.6426536426536427,0.7492245287520878,0.10657088609844512
Whole_Tumor,0.32124352331606215,0.6,0.2787564766839378
Tumor_Core,0.6972477064220184,0.8581235697940504,0.16087586337203197
Whole_Tumor,0.8003001876172607,0.7898226421349246,-0.010477545482336148
Tumor_Core,0.5948197054342306,0.8617324726017115,0.2669127671674809
Whole_Tumor,0.852018779342723,0.8845424608322523,0.03252368148952933
Tumor_Core,0.7181270282800185,0.8188096987509185,0.10068267047089996
Whole_Tumor,0.6928065449466227,0.8507749455616754,0.15796840061505268
Tumor_Core,0.7059795176742649,0.8079829490408835,0.1020034313666186
Whole_Tumor,0.5348333161316957,0.7071869736103312,0.1723536574786355
Tumor_Core,0.31138129010469434,0.581102870041922,0.2697215799372276
Whole_Tumor,0.47045055588063195,0.5132471521822604,0.04279659630162841
Tumor_Core,0.3951734539969834,0.6582278481012658,0.2630543941042824
Whole_Tumor,0.7156435200715644,0.7633587786259542,0.04771525855438985
Tumor_Core,0.47610862839463736,0.6350298028427327,0.15892117444809534
Whole_Tumor,0.5813519813519814,0.9058263100036643,0.3244743286516829
Tumor_Core,0.6047596826878208,0.6801667659321025,0.07540708324428169
Whole_Tumor,0.47526725856133356,0.8281924244845773,0.35292516592324374
Tumor_Core,0.7790134017678928,0.9241427086941462,0.14512930692625337
Whole_Tumor,0.7049368541905855,0.9239528263521757,0.2190159721615902
Tumor_Core,0.4020718679184202,0.6052631578947368,0.20319128997631664
